utc_ts,market,borrow_usd,collateral_usd,book_ltv,liq_10,liq_20,liq_30,capacity_ab_usd,distance_to_capacity
2026-09-18T14:35:59+00:00,cbADA,1999272,6480523,0.3085,0,127166,263378,227974,0.28
2026-09-18T14:35:59+00:00,cbLTC,769178,2242073,0.3431,14,210817,282432,221245,0.22
2026-09-18T14:35:59+00:00,JitoSOL,2213464,7073973,0.3129,0,115544,396803,2552691,
2026-09-18T18:34:03+00:00,cbBTC,1423719760,3048999893,0.4669,1144820,71492912,238647377,8010743,0.11
2026-09-18T18:34:03+00:00,WETH,84267956,200847192,0.4196,10497,8098200,15832273,19508122,0.34
2026-09-18T18:34:03+00:00,cbETH,11545661,31112135,0.3711,132,1525391,2528655,4497528,0.42
2026-09-18T18:34:03+00:00,cbXRP,47968531,139773976,0.3432,9510,5077877,12148226,1265401,0.13
2026-09-18T18:34:03+00:00,SOL,5345124,17320441,0.3086,0,457352,1074062,1695088,0.38
2026-09-18T18:34:03+00:00,cbDOGE,2317688,6816771,0.34,54254,192015,493992,226244,0.22
2026-09-18T18:34:03+00:00,cbADA,2003464,6549361,0.3059,0,127749,295627,194877,0.25
2026-09-18T18:34:03+00:00,cbLTC,770030,2271374,0.339,0,187449,288691,275124,0.27
2026-09-18T18:34:03+00:00,JitoSOL,2222472,7306160,0.3042,24,115923,282671,1695088,0.57
2026-09-19T16:18:14+00:00,cbBTC,1426473441,3077591720,0.4635,287851,68795885,229214743,8449500,0.11
2026-09-19T16:18:14+00:00,WETH,84642278,203415977,0.4161,130988,7323776,16076019,20497370,0.35
2026-09-19T16:18:14+00:00,cbETH,11633976,31630391,0.3678,277,483640,2292750,3956367,0.41
2026-09-19T16:18:14+00:00,cbXRP,48523401,144873191,0.3349,291065,3715384,10507316,1483693,0.15
2026-09-19T16:18:14+00:00,SOL,5415195,17219296,0.3145,101753,682276,1258964,1325725,0.31
2026-09-19T16:18:14+00:00,cbDOGE,2330746,6980468,0.3339,0,182882,489777,319895,0.25
2026-09-19T16:18:14+00:00,cbADA,2023029,6755859,0.2994,18685,119566,250482,191207,0.25
2026-09-19T16:18:14+00:00,cbLTC,769491,2325509,0.3309,129,127134,284922,188682,0.21
2026-09-19T16:18:14+00:00,JitoSOL,2239618,7283636,0.3075,624,123743,354837,1325725,0.49
2026-09-19T18:06:38+00:00,cbBTC,1426830287,3073406579,0.4643,1025120,71046967,231769101,8734626,0.11
